[2026-02-08 21:58:30] Protocol: TCP | Source: 10.209.122.194:53162 -> Destination: 20.50.201.206:443 | Size: 1183 bytes
[2026-02-08 21:58:30] Protocol: TCP | Source: 10.209.122.194:53162 -> Destination: 20.50.201.206:443 | Size: 1543 bytes
[2026-02-08 21:58:30] Protocol: TCP | Source: 20.50.201.206:443 -> Destination: 10.209.122.194:53162 | Size: 54 bytes
[2026-02-08 21:58:30] Protocol: TCP | Source: 20.50.201.206:443 -> Destination: 10.209.122.194:53162 | Size: 499 bytes
[2026-02-08 21:58:30] Protocol: TCP | Source: 10.209.122.194:53162 -> Destination: 20.50.201.206:443 | Size: 54 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 10.209.122.194:53163 -> Destination: 13.107.137.11:443 | Size: 2723 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 10.209.122.194:53163 -> Destination: 13.107.137.11:443 | Size: 1738 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 13.107.137.11:443 -> Destination: 10.209.122.194:53163 | Size: 54 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 13.107.137.11:443 -> Destination: 10.209.122.194:53163 | Size: 54 bytes
[2026-02-08 21:58:31] Protocol: UDP | Source: 10.209.122.194:137 -> Destination: 10.209.122.255:137 | Size: 92 bytes
[2026-02-08 21:58:31] Protocol: UDP | Source: 10.209.122.194:57888 -> Destination: 10.209.122.124:53 | Size: 76 bytes
[2026-02-08 21:58:31] Protocol: UDP | Source: 10.209.122.194:59892 -> Destination: 10.209.122.124:53 | Size: 76 bytes
[2026-02-08 21:58:31] Protocol: UDP | Source: 10.209.122.124:53 -> Destination: 10.209.122.194:57888 | Size: 160 bytes
[2026-02-08 21:58:31] Protocol: UDP | Source: 10.209.122.124:53 -> Destination: 10.209.122.194:59892 | Size: 160 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 13.107.137.11:443 -> Destination: 10.209.122.194:53163 | Size: 1454 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 13.107.137.11:443 -> Destination: 10.209.122.194:53163 | Size: 1454 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 10.209.122.194:53163 -> Destination: 13.107.137.11:443 | Size: 54 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 13.107.137.11:443 -> Destination: 10.209.122.194:53163 | Size: 175 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 10.209.122.194:53163 -> Destination: 13.107.137.11:443 | Size: 54 bytes
[2026-02-08 21:58:31] Protocol: TCP | Source: 10.209.122.194:53164 -> Destination: 52.106.7.11:443 | Size: 2753 bytes
[2026-02-08 21:58:32] Protocol: UDP | Source: 10.209.122.194:57888 -> Destination: 10.209.122.124:53 | Size: 74 bytes
[2026-02-08 21:58:32] Protocol: UDP | Source: 10.209.122.194:59589 -> Destination: 10.209.122.124:53 | Size: 74 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 52.106.7.11:443 -> Destination: 10.209.122.194:53164 | Size: 54 bytes
[2026-02-08 21:58:32] Protocol: UDP | Source: 10.209.122.124:53 -> Destination: 10.209.122.194:57888 | Size: 123 bytes
[2026-02-08 21:58:32] Protocol: UDP | Source: 10.209.122.124:53 -> Destination: 10.209.122.194:59589 | Size: 135 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 52.106.7.11:443 -> Destination: 10.209.122.194:53164 | Size: 1454 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 52.106.7.11:443 -> Destination: 10.209.122.194:53164 | Size: 1454 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 10.209.122.194:53164 -> Destination: 52.106.7.11:443 | Size: 54 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 52.106.7.11:443 -> Destination: 10.209.122.194:53164 | Size: 1454 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 52.106.7.11:443 -> Destination: 10.209.122.194:53164 | Size: 827 bytes
[2026-02-08 21:58:32] Protocol: TCP | Source: 10.209.122.194:53164 -> Destination: 52.106.7.11:443 | Size: 54 bytes
[2026-02-08 21:58:32] Protocol: UDP | Source: 10.209.122.194:137 -> Destination: 10.209.122.255:137 | Size: 92 bytes
